,Weights Gryffindor,Weights Slytherin,Weights Ravenclaw,Weights Hufflepuff
0,0.0902916894989739,0.13688030619193306,-1.4487194493943354,-0.5234707453260814
1,0.0311218674826655,0.055437707141698704,-0.8028657815458903,-0.2358185446577109
2,0.878513825200023,-1.2398121358744674,-2.337096900960401,1.6593894583285949
3,-1.3424733440253247,-1.4694267666322034,0.759130354899384,1.6704140818407989
4,-0.7882221357010495,1.3766924420664035,0.8883774515660752,-2.1828602036546805
5,0.5122993446073882,-2.1167762440660454,0.16864397189139488,0.6224922383454892
6,-0.40633089154843877,-0.6451803457317455,1.9230033740846328,-1.1683537924113503
7,1.252153404948081,-0.9831779674207632,1.1722300730975663,-2.1312148083537976
8,-1.719222856876805,0.4785816149723234,-0.26298706323348714,0.8975795911730773
9,-1.8556298262372235,0.602433074765717,-0.3314876606247015,0.8666611586802695
10,-0.6572416442732709,1.090034807873036,-0.5495435979902947,-0.7106773634145805
11,-0.03308785398339844,0.05579817411614908,-0.5906618592207749,-0.1877193818283483
12,-1.0146640303422263,-0.938460504531491,1.870167395357362,-0.2068108855552213
13,1.6962204421374132,-0.8775687877736904,-0.8122423001479336,-1.0225128000787362
